text,label
This product works wonderfully,positive
I am extremely satisfied with the purchase,positive
The quality is excellent for the price,positive
Very reliable and easy to use,positive
Customer service was friendly and helpful,positive
The item arrived quickly and in perfect condition,positive
I would happily buy this again,positive
The performance has been consistently good,positive
Great product and excellent support,positive
The features are useful and well designed,positive
The product is acceptable and gets the job done,positive
Not amazing but still worth buying,positive
I had a good overall experience,positive
The quality is decent for everyday use,positive
It meets most of my expectations,positive
The product stopped working unexpectedly,negative
I am disappointed with the overall quality,negative
Customer support was difficult to reach,negative
The item feels cheap and poorly built,negative
I regret spending money on this,negative
Several features do not function correctly,negative
The performance is inconsistent and frustrating,negative
Not worth the price I paid,negative
I would not recommend this product,negative
The experience was mostly negative,negative
The product is average but has many flaws,negative
Some parts work well while others fail,negative
I expected much better quality,negative
The service was slow and unhelpful,negative
The product looks nice but performs poorly,negative
